"id","authors","year","title","WI","number","version","media","comment","newname","publisher","subtitle","publishdate","pagecount","category","language","sale","price","currency","mature","isbn10","isbn13","matching"
1,"Cattell, Roderic G. G.",0,"The object data standard: ODMG 3.0",15,540,"","","","The Object Data Standard","Morgan Kaufmann","ODMG 3.0","2000","280","Database management","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","1558606475","9781558606470","2"
2,"Monson-Haefel, Richard",1999,"Enterprise JavaBeans",14,543,"b","","","Enterprise JavaBeans","Oreilly & Associates Incorporated",NA,"1999","317","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","1565926056","9781565926059","0"
4,"Malone, Michael S.",0,"Der Mikroprozessor",11,703,"","","","Der Mikroprozessor","Springer-Verlag","Eine ungewohnliche Biographie","2013-03-14","375","Computers","de","FOR_SALE","39.99","EUR","NOT_MATURE",NA,"9783662065273","0"
5,"Jarke, Matthias (Hrsg.)",0,"Advanced information systems engineering",90,1626,"","LNCS","","Advanced Information Systems Engineering","Springer Science & Business Media","4th International Conference CAiSE '92, Manchester, UK, May 12-15, 1992. Proceedings","1992-04-29","650","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3540554815","9783540554813","2"
6,"Buchmann, Johannes",0,"EinfÃ_hrung in die Kryptographie",25,98,"c","","","Introduction to Cryptography","Springer Science & Business Media",NA,"2013-12-01","338","Mathematics","en","FOR_SALE","37.44","EUR","NOT_MATURE",NA,"9781441990037","4"
7,"Dicken, Hans",0,"Datenbanken unter Linux",15,569,"","","","Datenbanken unter Linux",NA,"Oracle 8i, MySQL, Adabas, Informix, Sybase, DB2, PostgreSQL, MiniSQL, Empress ; [Tipps zur optimalen Installation und Konfiguration, Backup, Recovery, Ausfallsicherheit, mit PHP und Java ins Web]","2000","516",NA,"de","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3826605551","9783826605550","0"
8,"Gueting, Ralf Hartmut (Hrsg.)",0,"Advances in spatial databases",90,1651,"","LNCS","","Advances in Spatial Databases","Springer Science & Business Media","5th International Symposium, SSD'97, Berlin, Germany, July 15-18, 1997 Proceedings","1997-07-02","373","Computers","ja","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3540632387","9783540632382","2"
9,"Haake, JÃ¶rg",0,"CSCL-Kompendium",21,67,"","","","CSCL-Kompendium","Oldenbourg Verlag","Lehr- und Handbuch zum computerunterstutzten kooperativen Lernen","2004","521","Kooperatives Lernen - Computerunterstutztes Lernen - Aufsatzsammlung","de","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3486274368","9783486274363","2"
10,"Brunner, Josef",0,"Linux security",11,755,"","","","Linux Security Cookbook","""O'Reilly Media, Inc.""",NA,"2003","311","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","0596003919","9780596003913","2"
13,"Powers, Shelley",0,"Practical RDF",15,647,"a","","","Practical RDF","""O'Reilly Media, Inc.""",NA,"2003-07-18","352","Computers","en","FOR_SALE","21.24","EUR","NOT_MATURE","0596550510","9780596550516","0"
14,"Cluet, Sophie (Ed.)",0,"Database programming languages",90,1369,"","LNCS","","Database Programming Languages","Springer","8th International Workshop, DBPL 2001, Frascati, Italy, September 8-10, 2001. Revised Papers","2003-06-30","343","Business & Economics","en","FOR_SALE","58.3","EUR","NOT_MATURE",NA,"9783540460930","2"
15,"Vollmer, Heribert",0,"Introduction to circuit complexity",54,37,"","","","Introduction to Circuit Complexity","Springer Science & Business Media","A Uniform Approach","1999-06-23","272","Computers","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","3540643109","9783540643104","0"
16,"Afuah, Allan",0,"Internet Business Models and Strategies",25,290,"b","","","Internet Business Models and Strategies","McGraw-Hill/Irwin","Text and Cases","2003","480","Business & Economics","en","NOT_FOR_SALE",NA,NA,"NOT_MATURE","0072511664","9780072511666","0"
